,Unnamed: 0,x,y,velocity,angle,isTouchBoard
0,0,443.32944405182525,310.0,65.34415010109996,1.2566370614359172,0.0
1,1,262.0153009387953,310.0,86.24860092985462,1.2566370614359172,0.0
2,2,150.2697557365747,310.0,107.14002577965593,1.2566370614359172,0.0
3,3,430.21440435770563,310.0,70.40179171694096,1.2566370614359172,0.0
4,4,1.466748214522544,310.0,115.87824518924592,1.2566370614359172,1.0
5,5,390.61433804382034,310.0,77.07926475714466,1.2566370614359172,0.0
6,6,281.88264029675787,310.0,90.01984090535143,1.2566370614359172,1.0
7,7,189.0740255933952,310.0,98.61754464273176,1.2566370614359172,0.0
8,8,258.4406569533625,310.0,90.97132972966908,1.2566370614359172,1.0
9,9,406.8334730965801,310.0,73.89406456074026,1.2566370614359172,0.0
10,10,265.3297446945996,310.0,98.123991460699,1.2566370614359172,1.0
11,11,381.9632059007927,310.0,78.65013798132688,1.2566370614359172,0.0
12,12,470.2325805588314,310.0,62.05402391305036,1.2566370614359172,0.0
13,13,434.9996680841297,310.0,75.12064115407229,1.2566370614359172,1.0
14,14,205.5779579028902,310.0,103.16623125782766,1.2566370614359172,1.0
15,15,266.5330329479855,310.0,94.22109082481676,1.2566370614359172,1.0
16,16,383.67201975296143,310.0,77.96185311482712,1.2566370614359172,0.0
17,17,426.17617117466574,310.0,77.64970158598334,1.2566370614359172,1.0
18,18,276.38082162329584,310.0,91.42547726172774,1.2566370614359172,1.0
19,19,487.0777606577631,310.0,64.0361209267723,1.2566370614359172,1.0
20,20,468.7513331710038,310.0,65.02052134054833,1.2566370614359172,1.0
21,21,261.08405186897073,310.0,84.7346708938389,1.2566370614359172,0.0
22,22,438.78260056247973,310.0,68.82372263727342,1.2566370614359172,0.0
23,23,259.18459415194576,310.0,87.81728601010563,1.2566370614359172,1.0
24,24,495.05094760441256,310.0,62.51777043362611,1.2566370614359172,1.0
25,25,478.0083403179065,310.0,64.25207272419979,1.2566370614359172,1.0
26,26,10.047993485899996,310.0,111.36130851097937,1.2566370614359172,1.0
27,27,191.0382561799917,310.0,100.66353056485315,1.2566370614359172,0.0
28,28,4.084458501872592,310.0,109.94326188671265,1.2566370614359172,1.0
29,29,423.07115631369766,310.0,71.43157881163023,1.2566370614359172,0.0
30,30,495.7517459926067,310.0,65.09651016541336,1.2566370614359172,1.0
